id,locale,name,country_id
132,ar,مصر,818
133,en,"El Salvador",222
134,ar,السلفادور,222
135,en,"Equatorial Guinea",226
136,ar,"غينيا الاستوائية",226
137,en,Eritrea,232
138,ar,إريتريا,232
139,en,Estonia,233
140,ar,إستونيا,233
141,en,Eswatini,748
142,ar,إسواتيني,748
143,en,Ethiopia,231
144,ar,إثيوبيا,231
145,en,"Falkland Islands (Malvinas)",238
146,ar,"جزر فوكلاند",238
147,en,"Faroe Islands",234
148,ar,"جزر فارو",234
149,en,Fiji,242
150,ar,فيجي,242
151,en,Finland,246
152,ar,فنلندا,246
153,en,France,250
154,ar,فرنسا,250
155,en,"French Guiana",254
156,ar,"غويانا الفرنسية",254
157,en,"French Polynesia",258
158,ar,"بولينزيا الفرنسية",258
159,en,"French Southern Territories",260
160,ar,"أراض فرنسية جنوبية وأنتارتيكية",260
161,en,Gabon,266
162,ar,الغابون,266
163,en,Gambia,270
164,ar,غامبيا,270
165,en,Georgia,268
166,ar,جورجيا,268
167,en,Germany,276
168,ar,ألمانيا,276
169,en,Ghana,288
170,ar,غانا,288
171,en,Gibraltar,292
172,ar,"جبل طارق",292
173,en,Greece,300
174,ar,اليونان,300
175,en,Greenland,304
176,ar,جرينلاند,304
177,en,Grenada,308
178,ar,غرينادا,308
179,en,Guadeloupe,312
180,ar,غوادلوب,312
181,en,Guam,316
182,ar,غوام,316
183,en,Guatemala,320
184,ar,غواتيمالا,320
185,en,Guernsey,831
186,ar,غيرنزي,831
187,en,Guinea,324
188,ar,غينيا,324
189,en,Guinea-Bissau,624
190,ar,"غينيا بيساو",624
191,en,Guyana,328
192,ar,غيانا,328
193,en,Haiti,332
194,ar,هايتي,332
195,en,"Heard Island and McDonald Islands",334
196,ar,"جزيرة هيرد وجزر ماكدونالد",334
197,en,"Holy See",336
198,ar,الفاتيكان,336
199,en,Honduras,340
200,ar,هندوراس,340
201,en,"Hong Kong",344
202,ar,"هونغ كونغ",344
203,en,Hungary,348
204,ar,المجر,348
205,en,Iceland,352
206,ar,آيسلندا,352
207,en,India,356
208,ar,الهند,356
209,en,Indonesia,360
210,ar,إندونيسيا,360
211,en,"Iran (Islamic Republic of)",364
212,ar,إيران,364
213,en,Iraq,368
214,ar,العراق,368
215,en,Ireland,372
216,ar,أيرلندا,372
217,en,"Isle of Man",833
218,ar,"جزيرة مان",833
219,en,Italy,380
220,ar,إيطاليا,380
221,en,Jamaica,388
222,ar,جامايكا,388
223,en,Japan,392
224,ar,اليابان,392
225,en,Jersey,832
226,ar,جيرزي,832
227,en,Jordan,400
228,ar,الأردن,400
229,en,Kazakhstan,398
230,ar,كازاخستان,398
231,en,Kenya,404
232,ar,كينيا,404
233,en,Kiribati,296
234,ar,كيريباتي,296
235,en,"Korea (Democratic People's Republic of)",408
236,ar,"كوريا الشمالية",408
237,en,"Korea, Republic of",410
238,ar,"كوريا الجنوبية",410
239,en,Kuwait,414
240,ar,الكويت,414
241,en,Kyrgyzstan,417
242,ar,قيرغيزستان,417
243,en,"Lao People's Democratic Republic",418
244,ar,لاوس,418
245,en,Latvia,428
246,ar,لاتفيا,428
247,en,Lebanon,422
248,ar,لبنان,422
249,en,Lesotho,426
250,ar,ليسوتو,426
251,en,Liberia,430
252,ar,ليبيريا,430
253,en,Libya,434
254,ar,ليبيا,434
255,en,Liechtenstein,438
256,ar,ليختنشتاين,438
257,en,Lithuania,440
258,ar,ليتوانيا,440
259,en,Luxembourg,442
260,ar,لوكسمبورغ,442
261,en,Macao,446
262,ar,ماكاو,446
263,en,Madagascar,450
264,ar,مدغشقر,450
265,en,Malawi,454
266,ar,مالاوي,454
267,en,Malaysia,458
268,ar,ماليزيا,458
269,en,Maldives,462
270,ar,"جزر المالديف",462
271,en,Mali,466
272,ar,مالي,466
273,en,Malta,470
274,ar,مالطا,470
275,en,"Marshall Islands",584
276,ar,"جزر مارشال",584
277,en,Martinique,474
278,ar,مارتينيك,474
279,en,Mauritania,478
280,ar,موريتانيا,478
281,en,Mauritius,480
282,ar,موريشيوس,480
283,en,Mayotte,175
284,ar,مايوت,175
285,en,Mexico,484
286,ar,المكسيك,484
287,en,"Micronesia (Federated States of)",583
288,ar,"ولايات ميكرونيسيا المتحدة",583
289,en,"Moldova, Republic of",498
290,ar,مولدوفا,498
291,en,Monaco,492
292,ar,موناكو,492
293,en,Mongolia,496
294,ar,منغوليا,496
295,en,Montenegro,499
296,ar,"الجبل الأسود",499
297,en,Montserrat,500
298,ar,مونتسرات,500
299,en,Morocco,504
300,ar,المغرب,504
301,en,Mozambique,508
302,ar,موزمبيق,508
303,en,Myanmar,104
304,ar,ميانمار,104
305,en,Namibia,516
306,ar,ناميبيا,516
307,en,Nauru,520
308,ar,ناورو,520
309,en,Nepal,524
310,ar,نيبال,524
311,en,Netherlands,528
312,ar,هولندا,528
313,en,"New Caledonia",540
314,ar,"كاليدونيا الجديدة",540
315,en,"New Zealand",554
316,ar,نيوزيلندا,554
317,en,Nicaragua,558
318,ar,نيكاراغوا,558
319,en,Niger,562
320,ar,النيجر,562
321,en,Nigeria,566
322,ar,نيجيريا,566
323,en,Niue,570
324,ar,نييوي,570
325,en,"Norfolk Island",574
326,ar,"جزيرة نورفولك",574
327,en,"North Macedonia",807
328,ar,مقدونيا,807
329,en,"Northern Mariana Islands",580
330,ar,"جزر ماريانا الشمالية",580
331,en,Norway,578
332,ar,النرويج,578
333,en,Oman,512
334,ar,عمان,512
335,en,Pakistan,586
336,ar,باكستان,586
337,en,Palau,585
338,ar,بالاو,585
339,en,"Palestine, State of",275
340,ar,فلسطين,275
341,en,Panama,591
342,ar,بنما,591
343,en,"Papua New Guinea",598
344,ar,"بابوا غينيا الجديدة",598
345,en,Paraguay,600
346,ar,باراغواي,600
347,en,Peru,604
348,ar,بيرو,604
349,en,Philippines,608
350,ar,الفلبين,608
351,en,Pitcairn,612
352,ar,"جزر بيتكيرن",612
353,en,Poland,616
354,ar,بولندا,616
355,en,Portugal,620
356,ar,البرتغال,620
357,en,"Puerto Rico",630
358,ar,بورتوريكو,630
359,en,Qatar,634
360,ar,قطر,634
361,en,Réunion,638
362,ar,"لا ريونيون",638
363,en,Romania,642
364,ar,رومانيا,642
365,en,"Russian Federation",643
366,ar,روسيا,643
367,en,Rwanda,646
368,ar,رواندا,646
369,en,"Saint Barthélemy",652
370,ar,"سان بارتيلمي",652
371,en,"Saint Helena, Ascension and Tristan da Cunha",654
372,ar,"سانت هيلانة وأسينشين وتريستان دا كونا",654
373,en,"Saint Kitts and Nevis",659
374,ar,"سانت كيتس ونيفيس",659
375,en,"Saint Lucia",662
376,ar,"سانت لوسيا",662
377,en,"Saint Martin (French part)",663
378,ar,"تجمع سان مارتين",663
379,en,"Saint Pierre and Miquelon",666
380,ar,"سان بيير وميكلون",666
381,en,"Saint Vincent and the Grenadines",670
382,ar,"سانت فينسنت والغرينادين",670
383,en,Samoa,882
384,ar,ساموا,882
385,en,"San Marino",674
386,ar,"سان مارينو",674
387,en,"Sao Tome and Principe",678
388,ar,"ساو تومي وبرينسيب",678
389,en,"Saudi Arabia",682
390,ar,السعودية,682
391,en,Senegal,686
392,ar,السنغال,686
393,en,Serbia,688
394,ar,صربيا,688
395,en,Seychelles,690
396,ar,سيشل,690
397,en,"Sierra Leone",694
398,ar,سيراليون,694
399,en,Singapore,702
400,ar,سنغافورة,702
401,en,"Sint Maarten (Dutch part)",534
402,ar,"سينت مارتن",534
403,en,Slovakia,703
404,ar,سلوفاكيا,703
405,en,Slovenia,705
406,ar,سلوفينيا,705
407,en,"Solomon Islands",90
408,ar,"جزر سليمان",90
409,en,Somalia,706
410,ar,الصومال,706
411,en,"South Africa",710
412,ar,"جنوب أفريقيا",710
413,en,"South Georgia and the South Sandwich Islands",239
414,ar,"جورجيا الجنوبية وجزر ساندويتش الجنوبية",239
415,en,"South Sudan",728
416,ar,"جنوب السودان",728
417,en,Spain,724
418,ar,إسبانيا,724
419,en,"Sri Lanka",144
420,ar,سريلانكا,144
421,en,Sudan,729
422,ar,السودان,729
423,en,Suriname,740
424,ar,سورينام,740
425,en,"Svalbard and Jan Mayen",744
426,ar,"سفالبارد ويان ماين",744
427,en,Sweden,752
428,ar,السويد,752
429,en,Switzerland,756
430,ar,سويسرا,756
431,en,"Syrian Arab Republic",760
432,ar,سوريا,760
433,en,"Taiwan, Province of China",158
434,ar,تايوان,158
435,en,Tajikistan,762
436,ar,طاجيكستان,762
437,en,"Tanzania, United Republic of",834
438,ar,تنزانيا,834
439,en,Thailand,764
440,ar,تايلاند,764
441,en,Timor-Leste,626
442,ar,"تيمور الشرقية",626
443,en,Togo,768
444,ar,توغو,768
445,en,Tokelau,772
446,ar,توكيلاو,772
447,en,Tonga,776
448,ar,تونغا,776
449,en,"Trinidad and Tobago",780
450,ar,"ترينيداد وتوباغو",780
451,en,Tunisia,788
452,ar,تونس,788
453,en,Türkiye,792
454,ar,تركيا,792
455,en,Turkmenistan,795
456,ar,تركمانستان,795
457,en,"Turks and Caicos Islands",796
458,ar,"جزر توركس وكايكوس",796
459,en,Tuvalu,798
460,ar,توفالو,798
461,en,Uganda,800
462,ar,أوغندا,800
463,en,Ukraine,804
464,ar,أوكرانيا,804
465,en,"United Arab Emirates",784
466,ar,"الإمارات العربية المتحدة",784
467,en,"United Kingdom of Great Britain and Northern Ireland",826
468,ar,"المملكة المتحدة",826
469,en,"United States of America",840
470,ar,"الولايات المتحدة",840
471,en,"United States Minor Outlying Islands",581
472,ar,"جزر الولايات المتحدة الصغيرة النائية",581
473,en,Uruguay,858
474,ar,الأوروغواي,858
475,en,Uzbekistan,860
476,ar,أوزبكستان,860
477,en,Vanuatu,548
478,ar,فانواتو,548
479,en,"Venezuela (Bolivarian Republic of)",862
480,ar,فنزويلا,862
481,en,"Viet Nam",704
482,ar,فيتنام,704
483,en,"Virgin Islands (British)",92
484,ar,"جزر العذراء البريطانية",92
485,en,"Virgin Islands (U.S.)",850
486,ar,"جزر العذراء الأمريكية",850
487,en,"Wallis and Futuna",876
488,ar,"واليس وفوتونا",876
489,en,"Western Sahara",732
490,ar,"الصحراء الغربية",732
491,en,Yemen,887
492,ar,اليمن,887
493,en,Zambia,894
494,ar,زامبيا,894
495,en,Zimbabwe,716
496,ar,زيمبابوي,716
